Name,Stock Count,Market Cap,atag,link
Large Cap Pharmaceutical,8,$1.803T,/stocks/industry/225/large-cap-pharmaceutical,https://www.macrotrends.net//stocks/industry/225/large-cap-pharmaceutical
Banks - Foreign,40,$1.626T,/stocks/industry/12/banks---foreign,https://www.macrotrends.net//stocks/industry/12/banks---foreign
"Property, Casualty and Title Insurance",29,$1.593T,"/stocks/industry/89/property,-casualty-and-title-insurance","https://www.macrotrends.net//stocks/industry/89/property,-casualty-and-title-insurance"
Banks - Major Regional,13,$1.559T,/stocks/industry/204/banks---major-regional,https://www.macrotrends.net//stocks/industry/204/banks---major-regional
Finance - Publicly Traded Investment Trusts,152,$1.092T,/stocks/industry/66/finance---publicly-traded-investment-trusts,https://www.macrotrends.net//stocks/industry/66/finance---publicly-traded-investment-trusts
Financial Transaction Services,18,$1.043T,/stocks/industry/282/financial-transaction-services,https://www.macrotrends.net//stocks/industry/282/financial-transaction-services
Oil & Gas - International Integrated,11,$1.001T,/stocks/industry/132/oil-gas---international-integrated,https://www.macrotrends.net//stocks/industry/132/oil-gas---international-integrated
Internet Software,58,$0.943T,/stocks/industry/214/internet-software,https://www.macrotrends.net//stocks/industry/214/internet-software
Utility - Electric Power Distribution,50,$0.932T,/stocks/industry/193/utility---electric-power-distribution,https://www.macrotrends.net//stocks/industry/193/utility---electric-power-distribution
REIT - Other Equity Trusts,96,$0.874T,/stocks/industry/266/reit---other-equity-trusts,https://www.macrotrends.net//stocks/industry/266/reit---other-equity-trusts
Medical Products Manufacturing,18,$0.788T,/stocks/industry/104/medical-products-manufacturing,https://www.macrotrends.net//stocks/industry/104/medical-products-manufacturing
Computer Software,6,$0.770T,/stocks/industry/44/computer-software,https://www.macrotrends.net//stocks/industry/44/computer-software
Semiconductor - Fabrication Foundries,1,$0.600T,/stocks/industry/262/semiconductor---fabrication-foundries,https://www.macrotrends.net//stocks/industry/262/semiconductor---fabrication-foundries
Soap and Cleaning Preparations,5,$0.597T,/stocks/industry/174/soap-and-cleaning-preparations,https://www.macrotrends.net//stocks/industry/174/soap-and-cleaning-preparations
Medical - Health Maintenance Organizations,7,$0.587T,/stocks/industry/108/medical---health-maintenance-organizations,https://www.macrotrends.net//stocks/industry/108/medical---health-maintenance-organizations
Internet Commerce,10,$0.551T,/stocks/industry/211/internet-commerce,https://www.macrotrends.net//stocks/industry/211/internet-commerce
Technology Services,55,$0.519T,/stocks/industry/283/technology-services,https://www.macrotrends.net//stocks/industry/283/technology-services
