ticker,comp_name,full_url,mt_name,industry,country,link,url
MSFT,Microsoft,https://www.macrotrends.net/stocks/charts/MSFT/microsoft/,/www.macrotrends.net//stocks/charts/MSFT/microsoft,,,,
AAPL,Apple,https://www.macrotrends.net/stocks/charts/AAPL/apple/,/www.macrotrends.net//stocks/charts/AAPL/apple,,,,
GOOGL,Alphabet,https://www.macrotrends.net/stocks/charts/GOOGL/alphabet/,/www.macrotrends.net//stocks/charts/GOOGL/alphabet,,,,
AMZN,Amazon,https://www.macrotrends.net/stocks/charts/AMZN/amazon/,/www.macrotrends.net//stocks/charts/AMZN/amazon,,,,
TSLA,Tesla,https://www.macrotrends.net/stocks/charts/TSLA/tesla/,/www.macrotrends.net//stocks/charts/TSLA/tesla,,,,
FB,Meta Platforms,https://www.macrotrends.net/stocks/charts/FB/meta-platforms/,/www.macrotrends.net//stocks/charts/FB/meta-platforms,,,,
NVDA,NVIDIA,https://www.macrotrends.net/stocks/charts/NVDA/nvidia/,/www.macrotrends.net//stocks/charts/NVDA/nvidia,,,,
BRK.A,Berkshire Hathaway,https://www.macrotrends.net/stocks/charts/BRK.A/berkshire-hathaway/,/www.macrotrends.net//stocks/charts/BRK.A/berkshire-hathaway,,,,
BRK.B,Berkshire Hathaway,https://www.macrotrends.net/stocks/charts/BRK.B/berkshire-hathaway/,/www.macrotrends.net//stocks/charts/BRK.B/berkshire-hathaway,,,,
JPM,JPMorgan Chase,https://www.macrotrends.net/stocks/charts/JPM/jpmorgan-chase/,/www.macrotrends.net//stocks/charts/JPM/jpmorgan-chase,,,,
JNJ,Johnson & Johnson,https://www.macrotrends.net/stocks/charts/JNJ/johnson-johnson/,/www.macrotrends.net//stocks/charts/JNJ/johnson-johnson,,,,
UNH,UnitedHealth Group,https://www.macrotrends.net/stocks/charts/UNH/unitedhealth-group/,/www.macrotrends.net//stocks/charts/UNH/unitedhealth-group,,,,
V,Visa,https://www.macrotrends.net/stocks/charts/V/visa/,/www.macrotrends.net//stocks/charts/V/visa,,,,
WMT,Walmart,https://www.macrotrends.net/stocks/charts/WMT/walmart/,/www.macrotrends.net//stocks/charts/WMT/walmart,,,,
HD,Home Depot,https://www.macrotrends.net/stocks/charts/HD/home-depot/,/www.macrotrends.net//stocks/charts/HD/home-depot,,,,
BAC,Bank Of America,https://www.macrotrends.net/stocks/charts/BAC/bank-of-america/,/www.macrotrends.net//stocks/charts/BAC/bank-of-america,,,,
PG,Procter & Gamble,https://www.macrotrends.net/stocks/charts/PG/procter-gamble/,/www.macrotrends.net//stocks/charts/PG/procter-gamble,,,,
MA,Mastercard,https://www.macrotrends.net/stocks/charts/MA/mastercard/,/www.macrotrends.net//stocks/charts/MA/mastercard,,,,
DIS,Disney,https://www.macrotrends.net/stocks/charts/DIS/disney/,/www.macrotrends.net//stocks/charts/DIS/disney,,,,
ADBE,Adobe,https://www.macrotrends.net/stocks/charts/ADBE/adobe/,/www.macrotrends.net//stocks/charts/ADBE/adobe,,,,
CRM,"Salesforce, Inc","https://www.macrotrends.net/stocks/charts/CRM/salesforce,-inc/","/www.macrotrends.net//stocks/charts/CRM/salesforce,-inc",,,,
NFLX,Netflix,https://www.macrotrends.net/stocks/charts/NFLX/netflix/,/www.macrotrends.net//stocks/charts/NFLX/netflix,,,,
NKE,NIKE,https://www.macrotrends.net/stocks/charts/NKE/nike/,/www.macrotrends.net//stocks/charts/NKE/nike,,,,
XOM,Exxon,https://www.macrotrends.net/stocks/charts/XOM/exxon/,/www.macrotrends.net//stocks/charts/XOM/exxon,,,,
PFE,Pfizer,https://www.macrotrends.net/stocks/charts/PFE/pfizer/,/www.macrotrends.net//stocks/charts/PFE/pfizer,,,,
TSLA,Tesla,https://www.macrotrends.net/stocks/charts/TSLA/tesla/,/www.macrotrends.net//stocks/charts/TSLA/tesla,,,,
AMZN,Amazon,https://www.macrotrends.net/stocks/charts/AMZN/amazon/,/www.macrotrends.net//stocks/charts/AMZN/amazon,,,,
