date,ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,revenue,gross_prof,operating_income,ebitda,net_income,eps,shares_outstanding,total_assets,cash_on_hand,long_term_debt,total_liabilities,share_holder_equity,date_asdate,price_date,Close,price_date_asdate,days_between_financials_price
2009-01-31,CRM,1076.769,220.471,856.298,99.53,693.026,,792.556,63.7421,21.85,85.592,37.557,48.035,,48.035,,43.428,158.4451,63.7421,484.732,500.912,0.09,0.0875,697.603,266.555,,33.115,,1068.557,77.027,184.962,44.872,30.127,411.265,1479.822,766.966,7.616,12.49,30.369,797.335,0.123,25.842,-2.905,,682.487,1479.822,48.035,94.703,24.552,119.255,-44.798,,8.512,43.113,62.267,229.557,-61.059,,-27.907,,-10.409,-10.409,,-99.375,-0.997,,-0.997,21.689,21.689,,54.597,75.289,204.739,77.366,,1.3932,0.011,0.0112,79.5248,5.9198,5.9198,14.7149,7.949,4.0332,0.7276,,4.0396,90.356,7.0382,7.5335,3.246,6.9606,1.3889,0.45830000000000004,0.33640000000000003,290.0,231.0,16.0,42.0,14.0,0.03,501.0,1480.0,698.0,8.0,797.0,682.0,2009-01-31,2009-01-30,6.6525,2009-01-30,1 days
2009-01-31,RY,4785.846,2446.36,2339.486,,3475.34,,3565.1,-1225.614,,1220.73,357.4,863.33,,859.248,0.0,859.248,,,1366.868,1379.191,0.6,0.6,151880.5,,,,,383164.3,,42876.72,9909.5,143991.4,196777.6,581951.6,406499.3,6351.74,138191.2,147567.9,554067.3,10358.3,16368.96,,-2078.35,27884.35,581951.6,859.24,167.28,,167.28,,,,,-1013.47,314.16,-127.29,,0.0,,,-2155.87,9458.25,7175.08,,-960.43,-408.0,,2838.86,-567.93,-9199.58,-8297.08,-723.79,,,,0.1855,1.1751,,,,,19.7153,13.8772,0.0106,,,,3.4685,4.7803,0.1476,2.5098,,0.2278,0.1355,4786.0,2339.0,-1226.0,,859.0,0.6,1379.0,581952.0,151881.0,6352.0,554067.0,27884.0,2009-01-31,2009-01-30,24.58,2009-01-30,1 days
2009-01-31,WMT,108627.0,81830.0,26797.0,,20452.0,,20452.0,6345.0,-492.0,5853.0,1947.0,3906.0,,3906.0,,3772.0,8030.0,6345.0,3939.0,3951.0,0.97,0.96,7275.0,3905.0,34511.0,3063.0,,48949.0,92856.0,,15260.0,3567.0,114480.0,163429.0,55390.0,34549.0,,40960.0,96350.0,393.0,63660.0,-2688.0,,67079.0,163429.0,13880.0,6739.0,435.0,7174.0,-101.0,-184.0,-410.0,0.0,1341.0,23147.0,-10785.0,0.0,0.0,0.0,0.0,0.0,43.0,-10742.0,827.0,-3745.0,-2918.0,-3521.0,-3521.0,-3746.0,267.0,-9918.0,1706.0,0.0,-3746.0,0.8837,0.34,0.6294,24.6688,5.8411,5.8411,,5.3882,3.4724,0.6647,2.3711,27.8174,3.2354,5.823,7.5378,2.39,3.8434,17.0902,5.8585,3.1288,108627.0,26797.0,6345.0,8030.0,3772.0,0.96,3951.0,163429.0,7275.0,34549.0,96350.0,67079.0,2009-01-31,2009-01-30,47.119999,2009-01-30,1 days
2009-01-31,HD,14607.0,9647.0,4960.0,,4251.0,,4694.0,266.0,-297.0,-31.0,-29.0,-2.0,,-2.0,,-54.0,736.0,266.0,1682.0,1686.0,-0.04,-0.03,525.0,972.0,10673.0,,1192.0,13362.0,26234.0,,1134.0,398.0,27802.0,41164.0,11153.0,9667.0,2198.0,12234.0,23387.0,85.0,12093.0,-77.0,,17777.0,41164.0,2260.0,1902.0,637.0,2539.0,121.0,743.0,0.0,249.0,729.0,5528.0,-1700.0,0.0,0.0,0.0,-29.0,-29.0,0.0,-1729.0,-313.0,-1732.0,-2045.0,14.0,14.0,-1521.0,-128.0,-3680.0,74.0,176.0,-1521.0,1.1981,0.3522,0.6432,33.9563,1.821,1.821,,-0.2122,-0.3697,0.3548,0.9039,15.0278,5.9889,-0.0113,-0.012,-0.0049,-0.0073,10.4817,3.2788,2.2705,14607.0,4960.0,266.0,736.0,-54.0,-0.03,1686.0,41164.0,525.0,9667.0,23387.0,17777.0,2009-01-31,2009-01-30,21.530001,2009-01-30,1 days
2009-01-31,NVDA,481.1399,339.4741,141.6658,211.779,86.44,,316.7491,-175.0833,4.708,-170.375,-22.71,-147.665,,-147.665,,-147.665,-127.0283,-175.0832,2192.504,2192.504,-0.065,-0.06,1255.39,318.435,537.834,39.794,,2167.958,625.798,,516.945,40.026,1182.769,3350.727,778.591,25.634,151.85,177.484,956.075,0.629,1964.169,3.865,,2394.652,3350.727,-30.041,185.023,127.711,312.734,348.873,-177.295,-283.207,19.42,-33.333,249.36,-407.67,0.0,-27.948,226.693,0.0,226.693,-0.442,-209.367,0.0,0.0,0.0,-350.089,-350.089,0.0,0.8150000000000001,-349.274,-309.281,162.706,0.0,2.7845,0.0106,0.0107,29.4438,-36.3893,-36.3893,,-35.4107,-30.6907,0.1436,0.6312,1.511,59.5651,-6.1664,-7.8641,-4.407,-6.1011,1.1118,0.11370000000000001,-0.0722,481.0,142.0,-175.0,-127.0,-148.0,-0.06,2193.0,3351.0,1255.0,26.0,956.0,2395.0,2009-01-31,2009-01-30,1.9875,2009-01-30,1 days
2009-01-31,BMO,4036.012,1473.69,2562.322,,1543.05,,1584.66,977.6616,,141.16,-57.93,199.09,,227.905,0.0,227.905,,,520.02,523.808,0.39,0.39,165166.5,,,,,311543.0,,29952.09,1943.71,16796.53,48692.33,361630.0,330805.6,3581.42,10582.7,15102.52,345908.1,4747.48,9330.14,,66.09,15721.87,361630.0,183.6,94.65,,94.65,,,,,0.0,5139.16,-70.99,,-4.89,,,-1729.1,-1972.27,-3777.26,,0.0,-114.24,,946.56,-298.65,4439.85,4973.52,6378.67,,,,0.1855,2.0969,,,,,6.1738,9.9677,0.0063,,,,1.6078,1.6541,0.063,1.1807,,9.8112,9.6756,4036.0,2562.0,978.0,,228.0,0.39,524.0,361630.0,165167.0,3581.0,345908.0,15722.0,2009-01-31,2009-01-30,26.700001,2009-01-30,1 days
2009-01-31,TD,3351.954,2019.59,1332.364,,2739.31,,2880.47,-1548.106,,483.88,-47.32,531.2,,578.856,0.0,578.856,,,1665.2,1668.4,0.335,0.335,87824.44,,,,,272602.8,,89761.63,16295.52,95569.09,201626.3,477657.8,342824.5,10195.92,91531.53,103784.6,446609.0,12061.29,14676.57,,1773.16,31048.8,477657.8,580.99,254.59,,254.59,,,,,785.8,2210.54,-414.52,,0.0,,,-10147.77,-1146.48,-11708.78,,-10226.11,-14.68,,1839.26,-340.27,18486.48,9744.67,271.72,,,,0.2472,0.4893,,,,,12.7333,15.2326,0.008,,,,2.0107,3.9236,0.1212,1.4035,,1.3249,1.0765,3352.0,1332.0,-1548.0,,579.0,0.34,1668.0,477658.0,87824.0,10196.0,446609.0,31049.0,2009-01-31,2009-01-30,16.135,2009-01-30,1 days
2009-01-31,BNS,6842.207,3404.0,3438.207,,2291.0,,2291.0,1147.207,,1060.0,190.0,870.0,,852.87,0.0,852.87,,,1001.0,1003.0,0.81,0.81,98508.0,,,,,402786.0,,47054.0,3381.0,54186.0,104621.0,509829.0,407255.0,5907.0,73305.0,79761.0,487016.0,4496.0,18853.0,,-4246.0,22813.0,509829.0,842.0,0.0,,,,,,,-2257.0,-1313.0,-51.0,,0.0,,,5434.0,-3612.0,1771.0,,-190.0,1000.0,,767.0,-530.0,-1073.0,-26.0,433.0,,,,0.2057,2.919,,,,,26.4801,21.3058,0.0079,,,,4.4646,4.389,0.1673,2.9696,,-1.3091,-1.3599,6842.0,3438.0,1147.0,,853.0,0.81,1003.0,509829.0,98508.0,5907.0,487016.0,22813.0,2009-01-31,2009-01-30,24.0,2009-01-30,1 days
2009-01-31,CM,3240.12,1192.99,2047.13,,1580.59,,1580.59,466.54,,69.36,-54.67,124.03,,136.71,0.0,136.71,,,1013.794,1013.794,0.135,0.135,48349.63,,,,,183117.7,,52705.44,2383.53,49184.39,104273.4,288713.0,228752.5,5490.04,43159.87,48804.13,277556.7,4956.38,4289.71,,-318.24,11156.35,288713.0,119.95,84.04,,84.04,,,,,20578.7,20777.8,-28.56,,0.0,,,-13534.17,1170.96,-12391.77,,96.28,0.0,,8.97,-300.28,-8381.13,-8576.16,-183.6,,,,0.3298,3.2818,,,,,3.4779,6.855,0.0069,,,,1.5174,1.5583,0.0474,0.8213,,20.4951,20.4669,3240.0,2047.0,467.0,,137.0,0.14,1014.0,288713.0,48350.0,5490.0,277557.0,11156.0,2009-01-31,2009-01-30,18.719999,2009-01-30,1 days
2009-02-28,ADBE,786.39,77.353,709.037,149.917,323.542,,501.121,207.916,-4.754,203.162,46.727,156.435,,156.435,,156.435,276.656,207.916,524.268,527.83,0.3,0.3,2383.694,300.048,,104.124,,2868.991,300.376,207.239,2313.843,197.147,3018.605,5887.596,636.865,350.0,147.995,639.571,1276.436,0.061,5069.84,25.095,,4611.16,5887.596,156.435,68.74,97.972,166.712,164.484,,-14.424,-42.175,42.596,365.743,-15.916,,,-106.445,-9.201,-115.646,,-131.562,,,,28.591,28.591,,0.084,28.675,262.475,45.618,,4.5049,0.0705,0.0759,90.1635,26.4393,26.4393,,25.8348,19.8928,0.1336,,2.6209,34.3396,3.3925,6.8095,2.657,3.1532,8.7983,0.6929,0.6628,786.0,709.0,208.0,277.0,156.0,0.3,528.0,5888.0,2384.0,350.0,1276.0,4611.0,2009-02-28,2009-02-27,16.700001,2009-02-27,1 days
